n,side,contrib
1,1.0,1.0
2,1.6,1.2800000000000002
3,1.85,1.1408333333333334
4,2.45,1.5006250000000003
5,2.45,1.2005000000000003
6,2.74,1.2512666666666667
7,3.3,1.5557142857142856
8,3.3,1.3612499999999998
9,3.3,1.21
10,3.59,1.28881
11,3.59,1.1716454545454544
12,3.59,1.0740083333333332
13,3.59,0.9913923076923077
14,4.15,1.2301785714285718
15,4.15,1.148166666666667
16,4.15,1.0764062500000002
17,4.4399999999999995,1.1596235294117645
18,4.4399999999999995,1.0951999999999997
19,4.4399999999999995,1.0375578947368418
20,4.4399999999999995,0.9856799999999998
21,5.0,1.1904761904761905
22,5.0,1.1363636363636365
23,5.0,1.0869565217391304
24,5.0,1.0416666666666667
25,5.0,1.0
26,5.29,1.0763115384615385
27,5.29,1.0364481481481482
28,5.29,0.9994321428571429
29,5.29,0.9649689655172414
30,5.29,0.9328033333333334
31,5.29,0.9027129032258066
32,5.85,1.069453125
33,5.85,1.0370454545454544
34,5.85,1.0065441176470586
35,5.85,0.9777857142857141
36,5.85,0.9506249999999999
37,6.14,1.018908108108108
38,6.14,0.9920947368421051
39,6.14,0.9666564102564101
40,6.14,0.9424899999999999
41,6.14,0.9195024390243902
42,6.14,0.8976095238095237
43,6.699999999999999,1.043953488372093
44,6.699999999999999,1.0202272727272725
45,6.699999999999999,0.9975555555555554
46,6.699999999999999,0.9758695652173912
47,6.699999999999999,0.9551063829787233
48,6.699999999999999,0.9352083333333332
49,6.699999999999999,0.9161224489795917
50,6.99,0.977202
51,6.99,0.9580411764705883
52,6.99,0.9396173076923078
53,6.99,0.9218886792452831
54,6.99,0.9048166666666667
55,6.99,0.8883654545454546
56,6.99,0.8725017857142857
57,6.99,0.8571947368421053
58,7.550000000000001,0.9828017241379312
59,7.550000000000001,0.9661440677966103
60,7.550000000000001,0.9500416666666669
61,7.550000000000001,0.9344672131147543
62,7.550000000000001,0.9193951612903227
63,7.550000000000001,0.9048015873015874
